name,dimension,optimal,time,bytes,gctime,gcstats
burma14,14,true,0.002801667,931504,0.0,"Base.GC_Diff(931504, 0, 0, 21194, 12, 0, 0, 0, 0)"
ulysses16,16,true,0.00638225,1624056,0.0,"Base.GC_Diff(1624056, 1, 0, 43348, 30, 0, 0, 0, 0)"
gr17,17,true,0.005490458,1781064,0.0,"Base.GC_Diff(1781064, 1, 0, 48612, 26, 0, 0, 0, 0)"
gr21,21,true,0.002532042,1634368,0.0,"Base.GC_Diff(1634368, 1, 0, 29503, 38, 0, 0, 0, 0)"
ulysses22,22,true,0.010489875,3443096,0.0,"Base.GC_Diff(3443096, 1, 0, 94651, 61, 0, 0, 0, 0)"
gr24,24,true,0.01358375,2527320,0.0,"Base.GC_Diff(2527320, 1, 0, 56139, 54, 0, 0, 0, 0)"
fri26,26,true,0.015523375,3497528,0.0,"Base.GC_Diff(3497528, 1, 0, 87141, 64, 0, 0, 0, 0)"
bayg29,29,true,0.017941292,4247984,0.0,"Base.GC_Diff(4247984, 1, 0, 107403, 69, 0, 0, 0, 0)"
bays29,29,true,0.032784125,5010648,0.009737417,"Base.GC_Diff(5010648, 1, 0, 134434, 90, 8, 9737417, 1, 0)"
dantzig42,42,true,0.052338709,9160360,0.0,"Base.GC_Diff(9160360, 7, 0, 221214, 173, 0, 0, 0, 0)"
swiss42,42,true,0.032507583,7687648,0.0,"Base.GC_Diff(7687648, 7, 0, 164615, 165, 0, 0, 0, 0)"
att48,48,true,0.172936583,19712432,0.0,"Base.GC_Diff(19712432, 34, 0, 583111, 263, 0, 0, 0, 0)"
gr48,48,true,0.7412905,21632328,0.0,"Base.GC_Diff(21632328, 33, 0, 656954, 284, 0, 0, 0, 0)"
hk48,48,true,0.054596834,15803792,0.007307958,"Base.GC_Diff(15803792, 25, 0, 435419, 238, 83, 7307958, 1, 0)"
eil51,51,true,0.164919208,13238648,0.0,"Base.GC_Diff(13238648, 22, 0, 323970, 199, 0, 0, 0, 0)"
berlin52,52,true,0.020939625,11248072,0.0,"Base.GC_Diff(11248072, 18, 0, 250084, 179, 0, 0, 0, 0)"
brazil58,58,true,0.141790792,25153920,0.0,"Base.GC_Diff(25153920, 37, 0, 741433, 249, 0, 0, 0, 0)"
st70,70,true,0.248242917,32633592,0.002209375,"Base.GC_Diff(32633592, 43, 0, 920243, 275, 97, 2209375, 1, 0)"
eil76,76,true,0.087227417,29096528,0.0,"Base.GC_Diff(29096528, 39, 0, 713288, 272, 0, 0, 0, 0)"
pr76,76,true,17.788517917,64022440,0.002183042,"Base.GC_Diff(64022440, 86, 0, 2008704, 408, 85, 2183042, 1, 0)"
gr96,96,true,7.69069275,102026680,0.005355249,"Base.GC_Diff(102026680, 97, 0, 3200307, 569, 141, 5355249, 2, 0)"
rat99,99,true,1.257809584,83055048,0.002235958,"Base.GC_Diff(83055048, 80, 0, 2461257, 475, 49, 2235958, 1, 0)"
kroA100,100,true,1.880675792,92905064,0.004920667,"Base.GC_Diff(92905064, 81, 0, 2832011, 490, 119, 4920667, 2, 0)"
kroB100,100,true,9.77385625,98679216,0.003050167,"Base.GC_Diff(98679216, 78, 0, 3152473, 584, 36, 3050167, 1, 0)"
kroC100,100,true,2.322361708,93378968,0.003206333,"Base.GC_Diff(93378968, 84, 0, 2831929, 479, 60, 3206333, 1, 0)"
kroD100,100,true,2.839012083,91194792,0.007475417,"Base.GC_Diff(91194792, 72, 0, 2832075, 518, 109, 7475417, 2, 0)"
kroE100,100,true,4.979867375,83475008,0.004271708,"Base.GC_Diff(83475008, 76, 0, 2511872, 438, 55, 4271708, 1, 0)"
rd100,100,true,2.266258333,74714072,0.003215,"Base.GC_Diff(74714072, 61, 0, 2191725, 431, 59, 3215000, 1, 0)"
eil101,101,true,0.440741292,50533200,0.003214084,"Base.GC_Diff(50533200, 49, 0, 1255157, 339, 56, 3214084, 1, 0)"
